ov_cpu_verbose,exec,cpu,Convert_64742:Convert:Default,ref, src:0::u8::blocked:ab::f0:128256x1 dst:0::bf16::blocked:ab::f0:128256x1,,0.184606ms
ov_cpu_verbose,exec,cpu,Convert_64742_bf16_f32___module.model.embed_tokens/ov_ext::embedding/Gather:Reorder:Default,jit_uni, src:0::bf16::blocked:ab::f0:128256x1 dst:0::f32::blocked:ab::f0:128256x1,,0.225186ms
ov_cpu_verbose,exec,cpu,Constant_25026_u8_i32_Broadcast_50648:Reorder:Default,jit_uni, src:0::u8::blocked:a::f0:1 dst:0::s32::blocked:a::f0:1,,0.009513ms
ov_cpu_verbose,exec,cpu,Constant_25031_u8_i32_Broadcast_25032:Reorder:Default,jit_uni, src:0::u8::blocked:a::f0:1 dst:0::s32::blocked:a::f0:1,,0.009595ms
ov_cpu_verbose,exec,cpu,Constant_25037_u8_i32_Broadcast_25038:Reorder:Default,jit_uni, src:0::u8::blocked:a::f0:1 dst:0::s32::blocked:a::f0:1,,0.014489ms
ov_cpu_verbose,exec,cpu,input_ids:Input:Default,unknown, dst:0:i64:1x128,,0.014958ms
ov_cpu_verbose,exec,cpu,__module.model.embed_tokens/ov_ext::embedding/Convert_1:Convert:Default,ref, src:0:i64:1x128 dst:0::s32::blocked:ab::f0:1x128,,0.025317ms
ov_cpu_verbose,exec,cpu,__module.model.embed_tokens/ov_ext::embedding/Gather:Gather:Default,ref_any, src:0::u8::blocked:ab::f0:128256x2048 src:1::s32::blocked:ab::f0:1x128 src:2::s32::blocked:a::f0:1 src:3::f32::blocked:ab::f0:128256x1 src:4::f32::blocked:ab::f0:128256x1 dst:0::bf16::blocked:abc::f0:1x128x2048 dst:1::bf16::blocked:abc::f0:1x128x2048,,0.112417ms
ov_cpu_verbose,exec,cpu,__module.model.layers.0.input_layernorm/aten::mul/Multiply_1:RMS:Default,jit_avx512, src:0::bf16::blocked:abc::f0:1x128x2048 src:1::f32::blocked:abc::f0:1x1x2048 dst:0::bf16::blocked:abc::f0:1x128x2048 dst:1::bf16::blocked:abc::f0:1x128x2048 dst:2::bf16::blocked:abc::f0:1x128x2048 dst:3::bf16::blocked:abc::f0:1x128x2048,,0.072592ms
ov_cpu_verbose,exec,cpu,ShapeOf_19002:ShapeOf:Default,ref, src:0::bf16::blocked:abc::f0:1x128x2048 dst:0::s32::blocked:a::f0:3 dst:1::s32::blocked:a::f0:3,,0.006772ms
ov_cpu_verbose,exec,cpu,Gather_19005:Gather:Default,unknown, src:0::s32::blocked:a::f0:3 src:1::s32::blocked:a::f0:1 src:2::s32::blocked:a::f0:1 dst:0::s32::blocked:a::f0:1 dst:1::s32::blocked:a::f0:1 dst:2::s32::blocked:a::f0:1 dst:3::s32::blocked:a::f0:1,,0.005065ms
ov_cpu_verbose,exec,cpu,Concat_50645:Concatenation:Default,ref, src:0::s32::blocked:a::f0:1 src:1::s32::blocked:a::f0:1 src:2::s32::blocked:a::f0:1 src:3::s32::blocked:a::f0:1 dst:0::s32::blocked:a::f0:4,,0.006898ms
ov_cpu_verbose,exec,cpu,Broadcast_50648:Broadcast:Default,ref,# NOT ENOUGHT BUFFER SIZE #:1x8x0x64,,0.00673ms
ov_cpu_verbose,exec,cpu,ReadValue_50269:MemoryInput:Default,unknown, src:0::f32::blocked:dbac:0x0x0x0:f0:1x8x0x64 dst:0::f32::blocked:*::f0:*x8x*x64,,0.009644ms
ov_cpu_verbose,exec,cpu,ReadValue_50207:MemoryInput:Default,unknown, src:0::f32::blocked:dbac:0x0x0x0:f0:1x8x0x64 dst:0::f32::blocked:*::f0:*x8x*x64 dst:1::f32::blocked:*::f0:*x8x*x64,,0.007036ms
ov_cpu_verbose,exec,cpu,ReadValue_50209:MemoryInput:Default,unknown, src:0::f32::blocked:dbac:0x0x0x0:f0:1x8x0x64 dst:0::f32::blocked:*::f0:*x8x*x64,,0.006681ms
ov_cpu_verbose,exec,cpu,ReadValue_50211:MemoryInput:Default,unknown, src:0::f32::blocked:dbac:0x0x0x0:f0:1x8x0x64 dst:0::f32::blocked:*::f0:*x8x*x64,,0.006321ms
ov_cpu_verbose,exec,cpu,ReadValue_50213:MemoryInput:Default,unknown, src:0::f32::blocked:dbac:0x0x0x0:f0:1x8x0x64 dst:0::f32::blocked:*::f0:*x8x*x64,,0.006444ms
ov_cpu_verbose,exec,cpu,ReadValue_50239:MemoryInput:Default,unknown, src:0::f32::blocked:dbac:0x0x0x0:f0:1x8x0x64 dst:0::f32::blocked:*::f0:*x8x*x64,,0.007287ms
ov_cpu_verbose,exec,cpu,ReadValue_50241:MemoryInput:Default,unknown, src:0::f32::blocked:dbac:0x0x0x0:f0:1x8x0x64 dst:0::f32::blocked:*::f0:*x8x*x64,,0.006427ms
ov_cpu_verbose,exec,cpu,ReadValue_50243:MemoryInput:Default,unknown, src:0::f32::blocked:dbac:0x0x0x0:f0:1x8x0x64 dst:0::f32::blocked:*::f0:*x8x*x64,,0.007049ms
ov_cpu_verbose,exec,cpu,ReadValue_50245:MemoryInput:Default,unknown, src:0::f32::blocked:dbac:0x0x0x0:f0:1x8x0x64 dst:0::f32::blocked:*::f0:*x8x*x64,,0.006533ms
ov_cpu_verbose,exec,cpu,ReadValue_50247:MemoryInput:Default,unknown, src:0::f32::blocked:dbac:0x0x0x0:f0:1x8x0x64 dst:0::f32::blocked:*::f0:*x8x*x64,,0.006507ms
