
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.1.self_attn/aten::transpose/Transpose_3                                                 0.057
__module.model.layers.1.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.1.self_attn.o_proj/ov_ext::linear/MatMul                                                1.777
__module.model.layers.1/aten::add/Add                                                                         0.048
__module.model.layers.1.post_attention_layernorm/aten::mul/Multiply_1                                         0.050
__module.model.layers.1.mlp.gate_proj/ov_ext::linear/MatMul                                                   8.132
__module.model.layers.1.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.1.mlp.up_proj/ov_ext::linear/MatMul                                                     6.869
__module.model.layers.1.mlp/aten::mul/Multiply                                                                0.465
__module.model.layers.1.mlp.down_proj/ov_ext::linear/MatMul                                                   9.859
__module.model.layers.1/aten::add/Add_1                                                                       0.074
__module.model.layers.2.input_layernorm/aten::mul/Multiply_1                                                  0.052
__module.model.layers.2.self_attn.q_proj/ov_ext::linear/MatMul                                                1.947
__module.model.layers.2.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.2.self_attn/aten::add/Add                                                               0.089
__module.model.layers.2.self_attn.k_proj/ov_ext::linear/MatMul                                                0.437
__module.model.layers.2.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.2.self_attn/aten::add/Add_1                                                             0.028
__module.model.layers.2.self_attn.v_proj/ov_ext::linear/MatMul                                                0.481
__module.model.layers.2.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.2.self_attn/aten::transpose/Transpose_2                                                 0.035
__module.model.layers.2.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.954
__module.model.layers.2.self_attn/aten::transpose/Transpose_3                                                 0.107
__module.model.layers.2.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.2.self_attn.o_proj/ov_ext::linear/MatMul                                                1.716
__module.model.layers.2/aten::add/Add                                                                         0.049
__module.model.layers.2.post_attention_layernorm/aten::mul/Multiply_1                                         0.047
__module.model.layers.2.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.238
__module.model.layers.2.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.2.mlp.up_proj/ov_ext::linear/MatMul                                                     6.840
__module.model.layers.2.mlp/aten::mul/Multiply                                                                0.215
__module.model.layers.2.mlp.down_proj/ov_ext::linear/MatMul                                                  10.023
__module.model.layers.2/aten::add/Add_1                                                                       0.078
__module.model.layers.3.input_layernorm/aten::mul/Multiply_1                                                  0.052
__module.model.layers.3.self_attn.q_proj/ov_ext::linear/MatMul                                                1.939
__module.model.layers.3.self_attn/aten::view/Reshape                                                          0.008
__module.model.layers.3.self_attn/aten::add/Add                                                               0.090
__module.model.layers.3.self_attn.k_proj/ov_ext::linear/MatMul                                                0.453
__module.model.layers.3.self_attn/aten::view/Reshape_1                                                        0.006
__module.model.layers.3.self_attn/aten::add/Add_1                                                             0.029
__module.model.layers.3.self_attn.v_proj/ov_ext::linear/MatMul                                                0.477
__module.model.layers.3.self_attn/aten::view/Reshape_2                                                        0.008
__module.model.layers.3.self_attn/aten::transpose/Transpose_2                                                 0.014
__module.model.layers.3.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.932
__module.model.layers.3.self_attn/aten::transpose/Transpose_3                                                 0.052
__module.model.layers.3.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.3.self_attn.o_proj/ov_ext::linear/MatMul                                                1.629
__module.model.layers.3/aten::add/Add                                                                         0.050
__module.model.layers.3.post_attention_layernorm/aten::mul/Multiply_1                                         0.051
__module.model.layers.3.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.236
__module.model.layers.3.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.3.mlp.up_proj/ov_ext::linear/MatMul                                                     6.851
__module.model.layers.3.mlp/aten::mul/Multiply                                                                0.214
__module.model.layers.3.mlp.down_proj/ov_ext::linear/MatMul                                                   9.885
__module.model.layers.3/aten::add/Add_1                                                                       0.062
__module.model.layers.4.input_layernorm/aten::mul/Multiply_1                                                  0.052
__module.model.layers.4.self_attn.q_proj/ov_ext::linear/MatMul                                                1.794
__module.model.layers.4.self_attn/aten::view/Reshape                                                          0.013
__module.model.layers.4.self_attn/aten::add/Add                                                               0.090
__module.model.layers.4.self_attn.k_proj/ov_ext::linear/MatMul                                                0.487
__module.model.layers.4.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.4.self_attn/aten::add/Add_1                                                             0.035
__module.model.layers.4.self_attn.v_proj/ov_ext::linear/MatMul                                                0.542
__module.model.layers.4.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.4.self_attn/aten::transpose/Transpose_2                                                 0.016
__module.model.layers.4.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.935
__module.model.layers.4.self_attn/aten::transpose/Transpose_3                                                 0.045
__module.model.layers.4.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.4.self_attn.o_proj/ov_ext::linear/MatMul                                                1.648
__module.model.layers.4/aten::add/Add                                                                         0.050
__module.model.layers.4.post_attention_layernorm/aten::mul/Multiply_1                                         0.050
__module.model.layers.4.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.168
__module.model.layers.4.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.4.mlp.up_proj/ov_ext::linear/MatMul                                                     6.743
__module.model.layers.4.mlp/aten::mul/Multiply                                                                0.211
__module.model.layers.4.mlp.down_proj/ov_ext::linear/MatMul                                                   9.963
__module.model.layers.4/aten::add/Add_1                                                                       0.062
__module.model.layers.5.input_layernorm/aten::mul/Multiply_1                                                  0.054
__module.model.layers.5.self_attn.q_proj/ov_ext::linear/MatMul                                                1.790
__module.model.layers.5.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.5.self_attn/aten::add/Add                                                               0.092
__module.model.layers.5.self_attn.k_proj/ov_ext::linear/MatMul                                                0.437
__module.model.layers.5.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.5.self_attn/aten::add/Add_1                                                             0.030
__module.model.layers.5.self_attn.v_proj/ov_ext::linear/MatMul                                                0.489
__module.model.layers.5.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.5.self_attn/aten::transpose/Transpose_2                                                 0.014
__module.model.layers.5.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.917
__module.model.layers.5.self_attn/aten::transpose/Transpose_3                                                 0.045
__module.model.layers.5.self_attn/aten::reshape/Reshape_2                                                     0.008
__module.model.layers.5.self_attn.o_proj/ov_ext::linear/MatMul                                                1.664
__module.model.layers.5/aten::add/Add                                                                         0.047
__module.model.layers.5.post_attention_layernorm/aten::mul/Multiply_1                                         0.047
__module.model.layers.5.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.189
__module.model.layers.5.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.5.mlp.up_proj/ov_ext::linear/MatMul                                                     6.690
__module.model.layers.5.mlp/aten::mul/Multiply                                                                0.215
__module.model.layers.5.mlp.down_proj/ov_ext::linear/MatMul                                                   9.900
__module.model.layers.5/aten::add/Add_1                                                                       0.068
__module.model.layers.6.input_layernorm/aten::mul/Multiply_1                                                  0.053
__module.model.layers.6.self_attn.q_proj/ov_ext::linear/MatMul                                                1.934
__module.model.layers.6.self_attn/aten::view/Reshape                                                          0.008
__module.model.layers.6.self_attn/aten::add/Add                                                               0.089
__module.model.layers.6.self_attn.k_proj/ov_ext::linear/MatMul                                                0.453
__module.model.layers.6.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.6.self_attn/aten::add/Add_1                                                             0.029
__module.model.layers.6.self_attn.v_proj/ov_ext::linear/MatMul                                                0.557
__module.model.layers.6.self_attn/aten::view/Reshape_2                                                        0.006
__module.model.layers.6.self_attn/aten::transpose/Transpose_2                                                 0.015
__module.model.layers.6.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.916
__module.model.layers.6.self_attn/aten::transpose/Transpose_3                                                 0.044
__module.model.layers.6.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.6.self_attn.o_proj/ov_ext::linear/MatMul                                                1.644
__module.model.layers.6/aten::add/Add                                                                         0.052
__module.model.layers.6.post_attention_layernorm/aten::mul/Multiply_1                                         0.047
__module.model.layers.6.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.360
__module.model.layers.6.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.6.mlp.up_proj/ov_ext::linear/MatMul                                                     7.096
__module.model.layers.6.mlp/aten::mul/Multiply                                                                0.229
__module.model.layers.6.mlp.down_proj/ov_ext::linear/MatMul                                                   9.993
__module.model.layers.6/aten::add/Add_1                                                                       0.062
__module.model.layers.7.input_layernorm/aten::mul/Multiply_1                                                  0.055
__module.model.layers.7.self_attn.q_proj/ov_ext::linear/MatMul                                                1.952
__module.model.layers.7.self_attn/aten::view/Reshape                                                          0.008
__module.model.layers.7.self_attn/aten::add/Add                                                               0.095
__module.model.layers.7.self_attn.k_proj/ov_ext::linear/MatMul                                                0.444
__module.model.layers.7.self_attn/aten::view/Reshape_1                                                        0.010
__module.model.layers.7.self_attn/aten::add/Add_1                                                             0.039
__module.model.layers.7.self_attn.v_proj/ov_ext::linear/MatMul                                                0.471
__module.model.layers.7.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.7.self_attn/aten::transpose/Transpose_2                                                 0.028
__module.model.layers.7.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.926
__module.model.layers.7.self_attn/aten::transpose/Transpose_3                                                 0.082
__module.model.layers.7.self_attn/aten::reshape/Reshape_2                                                     0.009
__module.model.layers.7.self_attn.o_proj/ov_ext::linear/MatMul                                                1.608
__module.model.layers.7/aten::add/Add                                                                         0.052
__module.model.layers.7.post_attention_layernorm/aten::mul/Multiply_1                                         0.050
__module.model.layers.7.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.287
__module.model.layers.7.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.7.mlp.up_proj/ov_ext::linear/MatMul                                                     6.661
__module.model.layers.7.mlp/aten::mul/Multiply                                                                0.220
__module.model.layers.7.mlp.down_proj/ov_ext::linear/MatMul                                                   9.779
__module.model.layers.7/aten::add/Add_1                                                                       0.068
__module.model.layers.8.input_layernorm/aten::mul/Multiply_1                                                  0.054
__module.model.layers.8.self_attn.q_proj/ov_ext::linear/MatMul                                                1.622
__module.model.layers.8.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.8.self_attn/aten::add/Add                                                               0.085
__module.model.layers.8.self_attn.k_proj/ov_ext::linear/MatMul                                                0.449
__module.model.layers.8.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.8.self_attn/aten::add/Add_1                                                             0.028
__module.model.layers.8.self_attn.v_proj/ov_ext::linear/MatMul                                                0.451
__module.model.layers.8.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.8.self_attn/aten::transpose/Transpose_2                                                 0.012
__module.model.layers.8.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.893
__module.model.layers.8.self_attn/aten::transpose/Transpose_3                                                 0.044
__module.model.layers.8.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.8.self_attn.o_proj/ov_ext::linear/MatMul                                                1.660
__module.model.layers.8/aten::add/Add                                                                         0.049
__module.model.layers.8.post_attention_layernorm/aten::mul/Multiply_1                                         0.048
__module.model.layers.8.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.240
__module.model.layers.8.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.8.mlp.up_proj/ov_ext::linear/MatMul                                                     6.621
__module.model.layers.8.mlp/aten::mul/Multiply                                                                0.214
__module.model.layers.8.mlp.down_proj/ov_ext::linear/MatMul                                                  10.092
__module.model.layers.8/aten::add/Add_1                                                                       0.063
__module.model.layers.9.input_layernorm/aten::mul/Multiply_1                                                  0.053
__module.model.layers.9.self_attn.q_proj/ov_ext::linear/MatMul                                                1.664
__module.model.layers.9.self_attn/aten::view/Reshape                                                          0.011
__module.model.layers.9.self_attn/aten::add/Add                                                               0.091
__module.model.layers.9.self_attn.k_proj/ov_ext::linear/MatMul                                                0.440
__module.model.layers.9.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.9.self_attn/aten::add/Add_1                                                             0.029
__module.model.layers.9.self_attn.v_proj/ov_ext::linear/MatMul                                                0.446
__module.model.layers.9.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.9.self_attn/aten::transpose/Transpose_2                                                 0.014
__module.model.layers.9.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.885
__module.model.layers.9.self_attn/aten::transpose/Transpose_3                                                 0.045
__module.model.layers.9.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.9.self_attn.o_proj/ov_ext::linear/MatMul                                                1.832
__module.model.layers.9/aten::add/Add                                                                         0.049
__module.model.layers.9.post_attention_layernorm/aten::mul/Multiply_1                                         0.047
__module.model.layers.9.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.000
__module.model.layers.9.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.9.mlp.up_proj/ov_ext::linear/MatMul                                                     6.868
__module.model.layers.9.mlp/aten::mul/Multiply                                                                0.213
__module.model.layers.9.mlp.down_proj/ov_ext::linear/MatMul                                                   9.889
__module.model.layers.9/aten::add/Add_1                                                                       0.067
__module.model.layers.10.input_layernorm/aten::mul/Multiply_1                                                 0.051
__module.model.layers.10.self_attn.q_proj/ov_ext::linear/MatMul                                               1.930
__module.model.layers.10.self_attn/aten::view/Reshape                                                         0.009
__module.model.layers.10.self_attn/aten::add/Add                                                              0.089
__module.model.layers.10.self_attn.k_proj/ov_ext::linear/MatMul                                               0.445
__module.model.layers.10.self_attn/aten::view/Reshape_1                                                       0.007
__module.model.layers.10.self_attn/aten::add/Add_1                                                            0.031
__module.model.layers.10.self_attn.v_proj/ov_ext::linear/MatMul                                               0.439
__module.model.layers.10.self_attn/aten::view/Reshape_2                                                       0.007
__module.model.layers.10.self_attn/aten::transpose/Transpose_2                                                0.014
__module.model.layers.10.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.901
__module.model.layers.10.self_attn/aten::transpose/Transpose_3                                                0.046
__module.model.layers.10.self_attn/aten::reshape/Reshape_2                                                    0.007
__module.model.layers.10.self_attn.o_proj/ov_ext::linear/MatMul                                               1.716
__module.model.layers.10/aten::add/Add                                                                        0.050
__module.model.layers.10.post_attention_layernorm/aten::mul/Multiply_1                                        0.051
__module.model.layers.10.mlp.gate_proj/ov_ext::linear/MatMul                                                  7.336
__module.model.layers.10.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.10.mlp.up_proj/ov_ext::linear/MatMul                                                    6.750
__module.model.layers.10.mlp/aten::mul/Multiply                                                               0.216
__module.model.layers.10.mlp.down_proj/ov_ext::linear/MatMul                                                  9.928
__module.model.layers.10/aten::add/Add_1                                                                      0.062
__module.model.layers.11.input_layernorm/aten::mul/Multiply_1                                                 0.052
__module.model.layers.11.self_attn.q_proj/ov_ext::linear/MatMul                                               2.023
__module.model.layers.11.self_attn/aten::view/Reshape                                                         0.009
__module.model.layers.11.self_attn/aten::add/Add                                                              0.086
__module.model.layers.11.self_attn.k_proj/ov_ext::linear/MatMul                                               0.460
__module.model.layers.11.self_attn/aten::view/Reshape_1                                                       0.007
__module.model.layers.11.self_attn/aten::add/Add_1                                                            0.029
__module.model.layers.11.self_attn.v_proj/ov_ext::linear/MatMul                                               0.460
__module.model.layers.11.self_attn/aten::view/Reshape_2                                                       0.006
__module.model.layers.11.self_attn/aten::transpose/Transpose_2                                                0.014
__module.model.layers.11.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.860
__module.model.layers.11.self_attn/aten::transpose/Transpose_3                                                0.043
__module.model.layers.11.self_attn/aten::reshape/Reshape_2                                                    0.006
__module.model.layers.11.self_attn.o_proj/ov_ext::linear/MatMul                                               1.617
__module.model.layers.11/aten::add/Add                                                                        0.049
__module.model.layers.11.post_attention_layernorm/aten::mul/Multiply_1                                        0.049
__module.model.layers.11.mlp.gate_proj/ov_ext::linear/MatMul                                                  7.242
__module.model.layers.11.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.11.mlp.up_proj/ov_ext::linear/MatMul                                                    6.467
__module.model.layers.11.mlp/aten::mul/Multiply                                                               0.215
__module.model.layers.11.mlp.down_proj/ov_ext::linear/MatMul                                                  9.762
__module.model.layers.11/aten::add/Add_1                                                                      0.063
__module.model.layers.12.input_layernorm/aten::mul/Multiply_1                                                 0.053
__module.model.layers.12.self_attn.q_proj/ov_ext::linear/MatMul                                               2.051
__module.model.layers.12.self_attn/aten::view/Reshape                                                         0.009
__module.model.layers.12.self_attn/aten::add/Add                                                              0.091
__module.model.layers.12.self_attn.k_proj/ov_ext::linear/MatMul                                               0.440
__module.model.layers.12.self_attn/aten::view/Reshape_1                                                       0.007
__module.model.layers.12.self_attn/aten::add/Add_1                                                            0.030
__module.model.layers.12.self_attn.v_proj/ov_ext::linear/MatMul                                               0.453
__module.model.layers.12.self_attn/aten::view/Reshape_2                                                       0.008
__module.model.layers.12.self_attn/aten::transpose/Transpose_2                                                0.015
__module.model.layers.12.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.869
__module.model.layers.12.self_attn/aten::transpose/Transpose_3                                                0.043
__module.model.layers.12.self_attn/aten::reshape/Reshape_2                                                    0.006
__module.model.layers.12.self_attn.o_proj/ov_ext::linear/MatMul                                               1.802
__module.model.layers.12/aten::add/Add                                                                        0.053
__module.model.layers.12.post_attention_layernorm/aten::mul/Multiply_1                                        0.049
__module.model.layers.12.mlp.gate_proj/ov_ext::linear/MatMul                                                  7.246
__module.model.layers.12.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.12.mlp.up_proj/ov_ext::linear/MatMul                                                    6.543
__module.model.layers.12.mlp/aten::mul/Multiply                                                               0.221
__module.model.layers.12.mlp.down_proj/ov_ext::linear/MatMul                                                  9.734
__module.model.layers.12/aten::add/Add_1                                                                      0.068
__module.model.layers.13.input_layernorm/aten::mul/Multiply_1                                                 0.052
__module.model.layers.13.self_attn.q_proj/ov_ext::linear/MatMul                                               1.927
__module.model.layers.13.self_attn/aten::view/Reshape                                                         0.010
__module.model.layers.13.self_attn/aten::add/Add                                                              0.088
__module.model.layers.13.self_attn.k_proj/ov_ext::linear/MatMul                                               0.437
__module.model.layers.13.self_attn/aten::view/Reshape_1                                                       0.007
__module.model.layers.13.self_attn/aten::add/Add_1                                                            0.030
__module.model.layers.13.self_attn.v_proj/ov_ext::linear/MatMul                                               0.466
__module.model.layers.13.self_attn/aten::view/Reshape_2                                                       0.007
__module.model.layers.13.self_attn/aten::transpose/Transpose_2                                                0.018
__module.model.layers.13.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.873
__module.model.layers.13.self_attn/aten::transpose/Transpose_3                                                0.042
__module.model.layers.13.self_attn/aten::reshape/Reshape_2                                                    0.007
__module.model.layers.13.self_attn.o_proj/ov_ext::linear/MatMul                                               1.818
__module.model.layers.13/aten::add/Add                                                                        0.051
__module.model.layers.13.post_attention_layernorm/aten::mul/Multiply_1                                        0.046
__module.model.layers.13.mlp.gate_proj/ov_ext::linear/MatMul                                                  7.149
__module.model.layers.13.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.13.mlp.up_proj/ov_ext::linear/MatMul                                                    6.637
__module.model.layers.13.mlp/aten::mul/Multiply                                                               0.224
__module.model.layers.13.mlp.down_proj/ov_ext::linear/MatMul                                                  9.618
__module.model.layers.13/aten::add/Add_1                                                                      0.066
__module.model.layers.14.input_layernorm/aten::mul/Multiply_1                                                 0.053
__module.model.layers.14.self_attn.q_proj/ov_ext::linear/MatMul                                               2.046
__module.model.layers.14.self_attn/aten::view/Reshape                                                         0.010
__module.model.layers.14.self_attn/aten::add/Add                                                              0.091
__module.model.layers.14.self_attn.k_proj/ov_ext::linear/MatMul                                               0.434
__module.model.layers.14.self_attn/aten::view/Reshape_1                                                       0.007
__module.model.layers.14.self_attn/aten::add/Add_1                                                            0.028
__module.model.layers.14.self_attn.v_proj/ov_ext::linear/MatMul                                               0.463
__module.model.layers.14.self_attn/aten::view/Reshape_2                                                       0.007
__module.model.layers.14.self_attn/aten::transpose/Transpose_2                                                0.012
__module.model.layers.14.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.924
__module.model.layers.14.self_attn/aten::transpose/Transpose_3                                                0.040
__module.model.layers.14.self_attn/aten::reshape/Reshape_2                                                    0.005
__module.model.layers.14.self_attn.o_proj/ov_ext::linear/MatMul                                               1.795
__module.model.layers.14/aten::add/Add                                                                        0.051
__module.model.layers.14.post_attention_layernorm/aten::mul/Multiply_1                                        0.046
__module.model.layers.14.mlp.gate_proj/ov_ext::linear/MatMul                                                  7.281
__module.model.layers.14.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.14.mlp.up_proj/ov_ext::linear/MatMul                                                    6.804
