
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.1.self_attn.v_proj/ov_ext::linear/MatMul                                                0.492
__module.model.layers.1.self_attn/aten::view/Reshape_2                                                        0.000
__module.model.layers.1.self_attn/aten::transpose/Transpose_2                                                 0.015
__module.model.layers.1.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                1.026
__module.model.layers.1.self_attn/aten::transpose/Transpose_3                                                 0.048
__module.model.layers.1.self_attn/aten::reshape/Reshape_2                                                     0.000
__module.model.layers.1.self_attn.o_proj/ov_ext::linear/MatMul                                                1.620
__module.model.layers.1/aten::add/Add                                                                         0.046
__module.model.layers.1.post_attention_layernorm/aten::mul/Multiply_1                                         0.045
__module.model.layers.1.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.386
__module.model.layers.1.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.1.mlp.up_proj/ov_ext::linear/MatMul                                                     6.111
__module.model.layers.1.mlp/aten::mul/Multiply                                                                0.550
__module.model.layers.1.mlp.down_proj/ov_ext::linear/MatMul                                                   9.008
__module.model.layers.1/aten::add/Add_1                                                                       0.065
__module.model.layers.2.input_layernorm/aten::mul/Multiply_1                                                  0.045
__module.model.layers.2.self_attn.q_proj/ov_ext::linear/MatMul                                                1.784
__module.model.layers.2.self_attn/aten::view/Reshape                                                          0.000
__module.model.layers.2.self_attn/aten::add/Add                                                               0.091
__module.model.layers.2.self_attn.k_proj/ov_ext::linear/MatMul                                                0.458
__module.model.layers.2.self_attn/aten::view/Reshape_1                                                        0.000
__module.model.layers.2.self_attn/aten::add/Add_1                                                             0.025
__module.model.layers.2.self_attn.v_proj/ov_ext::linear/MatMul                                                0.756
__module.model.layers.2.self_attn/aten::view/Reshape_2                                                        0.001
__module.model.layers.2.self_attn/aten::transpose/Transpose_2                                                 0.047
__module.model.layers.2.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                1.325
__module.model.layers.2.self_attn/aten::transpose/Transpose_3                                                 0.125
__module.model.layers.2.self_attn/aten::reshape/Reshape_2                                                     0.001
__module.model.layers.2.self_attn.o_proj/ov_ext::linear/MatMul                                                2.034
__module.model.layers.2/aten::add/Add                                                                         0.106
__module.model.layers.2.post_attention_layernorm/aten::mul/Multiply_1                                         0.050
__module.model.layers.2.mlp.gate_proj/ov_ext::linear/MatMul                                                   8.261
__module.model.layers.2.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.2.mlp.up_proj/ov_ext::linear/MatMul                                                     7.149
__module.model.layers.2.mlp/aten::mul/Multiply                                                                0.409
__module.model.layers.2.mlp.down_proj/ov_ext::linear/MatMul                                                   9.171
__module.model.layers.2/aten::add/Add_1                                                                       0.077
__module.model.layers.3.input_layernorm/aten::mul/Multiply_1                                                  0.049
__module.model.layers.3.self_attn.q_proj/ov_ext::linear/MatMul                                                1.832
__module.model.layers.3.self_attn/aten::view/Reshape                                                          0.000
__module.model.layers.3.self_attn/aten::add/Add                                                               0.112
__module.model.layers.3.self_attn.k_proj/ov_ext::linear/MatMul                                                0.479
__module.model.layers.3.self_attn/aten::view/Reshape_1                                                        0.000
__module.model.layers.3.self_attn/aten::add/Add_1                                                             0.025
__module.model.layers.3.self_attn.v_proj/ov_ext::linear/MatMul                                                0.531
__module.model.layers.3.self_attn/aten::view/Reshape_2                                                        0.000
__module.model.layers.3.self_attn/aten::transpose/Transpose_2                                                 0.014
__module.model.layers.3.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.956
__module.model.layers.3.self_attn/aten::transpose/Transpose_3                                                 0.041
__module.model.layers.3.self_attn/aten::reshape/Reshape_2                                                     0.000
__module.model.layers.3.self_attn.o_proj/ov_ext::linear/MatMul                                                1.626
__module.model.layers.3/aten::add/Add                                                                         0.046
__module.model.layers.3.post_attention_layernorm/aten::mul/Multiply_1                                         0.045
__module.model.layers.3.mlp.gate_proj/ov_ext::linear/MatMul                                                   6.789
__module.model.layers.3.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.3.mlp.up_proj/ov_ext::linear/MatMul                                                     6.641
__module.model.layers.3.mlp/aten::mul/Multiply                                                                0.405
__module.model.layers.3.mlp.down_proj/ov_ext::linear/MatMul                                                   9.073
__module.model.layers.3/aten::add/Add_1                                                                       0.060
__module.model.layers.4.input_layernorm/aten::mul/Multiply_1                                                  0.049
__module.model.layers.4.self_attn.q_proj/ov_ext::linear/MatMul                                                1.828
__module.model.layers.4.self_attn/aten::view/Reshape                                                          0.000
__module.model.layers.4.self_attn/aten::add/Add                                                               0.095
__module.model.layers.4.self_attn.k_proj/ov_ext::linear/MatMul                                                0.481
__module.model.layers.4.self_attn/aten::view/Reshape_1                                                        0.000
__module.model.layers.4.self_attn/aten::add/Add_1                                                             0.028
__module.model.layers.4.self_attn.v_proj/ov_ext::linear/MatMul                                                0.491
__module.model.layers.4.self_attn/aten::view/Reshape_2                                                        0.000
__module.model.layers.4.self_attn/aten::transpose/Transpose_2                                                 0.013
__module.model.layers.4.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.929
__module.model.layers.4.self_attn/aten::transpose/Transpose_3                                                 0.045
__module.model.layers.4.self_attn/aten::reshape/Reshape_2                                                     0.000
__module.model.layers.4.self_attn.o_proj/ov_ext::linear/MatMul                                                1.762
__module.model.layers.4/aten::add/Add                                                                         0.045
__module.model.layers.4.post_attention_layernorm/aten::mul/Multiply_1                                         0.044
__module.model.layers.4.mlp.gate_proj/ov_ext::linear/MatMul                                                   6.948
__module.model.layers.4.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.4.mlp.up_proj/ov_ext::linear/MatMul                                                     6.413
__module.model.layers.4.mlp/aten::mul/Multiply                                                                0.247
__module.model.layers.4.mlp.down_proj/ov_ext::linear/MatMul                                                   9.062
__module.model.layers.4/aten::add/Add_1                                                                       0.058
__module.model.layers.5.input_layernorm/aten::mul/Multiply_1                                                  0.046
__module.model.layers.5.self_attn.q_proj/ov_ext::linear/MatMul                                                1.852
__module.model.layers.5.self_attn/aten::view/Reshape                                                          0.000
__module.model.layers.5.self_attn/aten::add/Add                                                               0.096
__module.model.layers.5.self_attn.k_proj/ov_ext::linear/MatMul                                                0.485
__module.model.layers.5.self_attn/aten::view/Reshape_1                                                        0.000
__module.model.layers.5.self_attn/aten::add/Add_1                                                             0.028
__module.model.layers.5.self_attn.v_proj/ov_ext::linear/MatMul                                                0.468
__module.model.layers.5.self_attn/aten::view/Reshape_2                                                        0.000
__module.model.layers.5.self_attn/aten::transpose/Transpose_2                                                 0.010
__module.model.layers.5.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.941
__module.model.layers.5.self_attn/aten::transpose/Transpose_3                                                 0.041
__module.model.layers.5.self_attn/aten::reshape/Reshape_2                                                     0.000
__module.model.layers.5.self_attn.o_proj/ov_ext::linear/MatMul                                                1.599
__module.model.layers.5/aten::add/Add                                                                         0.046
__module.model.layers.5.post_attention_layernorm/aten::mul/Multiply_1                                         0.045
__module.model.layers.5.mlp.gate_proj/ov_ext::linear/MatMul                                                   6.844
__module.model.layers.5.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.5.mlp.up_proj/ov_ext::linear/MatMul                                                     6.584
__module.model.layers.5.mlp/aten::mul/Multiply                                                                0.249
__module.model.layers.5.mlp.down_proj/ov_ext::linear/MatMul                                                   9.003
__module.model.layers.5/aten::add/Add_1                                                                       0.059
__module.model.layers.6.input_layernorm/aten::mul/Multiply_1                                                  0.046
__module.model.layers.6.self_attn.q_proj/ov_ext::linear/MatMul                                                1.807
__module.model.layers.6.self_attn/aten::view/Reshape                                                          0.000
__module.model.layers.6.self_attn/aten::add/Add                                                               0.093
__module.model.layers.6.self_attn.k_proj/ov_ext::linear/MatMul                                                0.464
__module.model.layers.6.self_attn/aten::view/Reshape_1                                                        0.000
__module.model.layers.6.self_attn/aten::add/Add_1                                                             0.027
__module.model.layers.6.self_attn.v_proj/ov_ext::linear/MatMul                                                0.464
__module.model.layers.6.self_attn/aten::view/Reshape_2                                                        0.000
__module.model.layers.6.self_attn/aten::transpose/Transpose_2                                                 0.010
