
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.0.self_attn/aten::transpose/Transpose_2                                                 0.023
__module.model.layers.0.self_attn/aten::cat/Concat_3                                                          0.043
Multiply_46314                                                                                                0.029
Clamp_46316                                                                                                   0.000
Convert_46317                                                                                                 0.021
Convert_46318                                                                                                 0.021
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze_3/fc_input_0                                      0.021
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze_3                                                 0.005
Broadcast_38816                                                                                               0.054
Broadcast_38816_f32_bf16___module.model.layers.0.self_attn/aten::expand/Broadcast_1                           0.057
__module.model.layers.0.self_attn/aten::expand/Broadcast_1                                                    0.169
__module.model.layers.0.self_attn/aten::reshape/Reshape_1                                                     0.005
__module.model.layers.0.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.150
Multiply_46323                                                                                                0.000
Clamp_46325                                                                                                   0.000
Convert_46326                                                                                                 0.073
Convert_46327                                                                                                 0.071
__module.model.layers.0.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention/fc_output_0          0.069
__module.model.layers.0.self_attn/aten::transpose/Transpose_3                                                 0.030
__module.model.layers.0.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.0.self_attn.o_proj/ov_ext::linear/MatMul                                                1.666
__module.model.layers.0/aten::add/Add                                                                         0.063
__module.model.layers.0.post_attention_layernorm/aten::mul/Multiply_1                                         0.073
Multiply_46332                                                                                                0.141
Clamp_46334                                                                                                   0.000
Convert_46335                                                                                                 0.058
Convert_46336                                                                                                 0.061
__module.model.layers.0.post_attention_layernorm/aten::mul/Multiply_1/fc_output_0                             0.044
__module.model.layers.0.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.991
__module.model.layers.0.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.0.mlp.up_proj/ov_ext::linear/MatMul                                                     7.128
__module.model.layers.0.mlp/aten::mul/Multiply                                                                0.549
Multiply_46341                                                                                                0.000
Clamp_46343                                                                                                   0.000
Convert_46344                                                                                                 0.251
Convert_46345                                                                                                 0.232
__module.model.layers.0.mlp/aten::mul/Multiply/fc_output_0                                                    0.216
__module.model.layers.0.mlp.down_proj/ov_ext::linear/MatMul                                                   9.258
__module.model.layers.0/aten::add/Add_1                                                                       0.058
__module.model.layers.1.input_layernorm/aten::mul/Multiply_1                                                  0.051
Multiply_46350                                                                                                0.051
Clamp_46352                                                                                                   0.000
Convert_46353                                                                                                 0.059
Convert_46354                                                                                                 0.064
__module.model.layers.1.input_layernorm/aten::mul/Multiply_1/fc_output_0                                      0.044
__module.model.layers.1.self_attn.q_proj/ov_ext::linear/MatMul                                                1.750
__module.model.layers.1.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.1.self_attn/aten::add/Add                                                               0.097
Multiply_46359                                                                                                0.083
Clamp_46361                                                                                                   0.000
Convert_46362                                                                                                 0.059
Convert_46363                                                                                                 0.063
__module.model.layers.1.self_attn/aten::add/Add/fc_output_0                                                   0.066
Multiply_32508                                                                                                0.000
Gather_49757                                                                                                  0.005
__module.model.layers.1.self_attn.k_proj/ov_ext::linear/MatMul                                                0.467
__module.model.layers.1.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.1.self_attn/aten::add/Add_1                                                             0.029
__module.model.layers.1.self_attn/aten::cat/Concat_2                                                          0.041
Multiply_46368                                                                                                0.024
Clamp_46370                                                                                                   0.000
Convert_46371                                                                                                 0.020
Convert_46372                                                                                                 0.021
__module.model.layers.1.self_attn/aten::unsqueeze/Unsqueeze_2/fc_input_0                                      0.021
__module.model.layers.1.self_attn/aten::unsqueeze/Unsqueeze_2                                                 0.005
Broadcast_38822                                                                                               0.049
Broadcast_38822_f32_bf16___module.model.layers.1.self_attn/aten::expand/Broadcast                             0.143
__module.model.layers.1.self_attn/aten::expand/Broadcast                                                      0.066
__module.model.layers.1.self_attn/aten::reshape/Reshape                                                       0.005
MatMul_32509                                                                                                  0.287
Add_32511                                                                                                     0.110
Softmax_32512                                                                                                 0.363
Gather_49760                                                                                                  0.007
__module.model.layers.1.self_attn.v_proj/ov_ext::linear/MatMul                                                0.447
__module.model.layers.1.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.1.self_attn/aten::transpose/Transpose_2                                                 0.018
__module.model.layers.1.self_attn/aten::cat/Concat_3                                                          0.042
Multiply_46377                                                                                                0.024
Clamp_46379                                                                                                   0.000
Convert_46380                                                                                                 0.020
Convert_46381                                                                                                 0.022
__module.model.layers.1.self_attn/aten::unsqueeze/Unsqueeze_3/fc_input_0                                      0.022
__module.model.layers.1.self_attn/aten::unsqueeze/Unsqueeze_3                                                 0.005
Broadcast_38828                                                                                               0.048
Broadcast_38828_f32_bf16___module.model.layers.1.self_attn/aten::expand/Broadcast_1                           0.054
__module.model.layers.1.self_attn/aten::expand/Broadcast_1                                                    0.068
__module.model.layers.1.self_attn/aten::reshape/Reshape_1                                                     0.006
__module.model.layers.1.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.153
Multiply_46386                                                                                                0.000
Clamp_46388                                                                                                   0.000
Convert_46389                                                                                                 0.067
Convert_46390                                                                                                 0.065
__module.model.layers.1.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention/fc_output_0          0.066
__module.model.layers.1.self_attn/aten::transpose/Transpose_3                                                 0.027
__module.model.layers.1.self_attn/aten::reshape/Reshape_2                                                     0.004
__module.model.layers.1.self_attn.o_proj/ov_ext::linear/MatMul                                                1.604
__module.model.layers.1/aten::add/Add                                                                         0.056
__module.model.layers.1.post_attention_layernorm/aten::mul/Multiply_1                                         0.046
Multiply_46395                                                                                                0.146
Clamp_46397                                                                                                   0.000
Convert_46398                                                                                                 0.059
Convert_46399                                                                                                 0.063
__module.model.layers.1.post_attention_layernorm/aten::mul/Multiply_1/fc_output_0                             0.044
__module.model.layers.1.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.374
__module.model.layers.1.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.1.mlp.up_proj/ov_ext::linear/MatMul                                                     6.578
__module.model.layers.1.mlp/aten::mul/Multiply                                                                0.242
Multiply_46404                                                                                                0.000
Clamp_46406                                                                                                   0.000
Convert_46407                                                                                                 0.215
Convert_46408                                                                                                 0.235
__module.model.layers.1.mlp/aten::mul/Multiply/fc_output_0                                                    0.211
__module.model.layers.1.mlp.down_proj/ov_ext::linear/MatMul                                                   9.286
__module.model.layers.1/aten::add/Add_1                                                                       0.065
__module.model.layers.2.input_layernorm/aten::mul/Multiply_1                                                  0.048
Multiply_46413                                                                                                0.048
Clamp_46415                                                                                                   0.000
Convert_46416                                                                                                 0.058
Convert_46417                                                                                                 0.061
__module.model.layers.2.input_layernorm/aten::mul/Multiply_1/fc_output_0                                      0.042
__module.model.layers.2.self_attn.q_proj/ov_ext::linear/MatMul                                                1.888
__module.model.layers.2.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.2.self_attn/aten::add/Add                                                               0.095
Multiply_46422                                                                                                0.077
Clamp_46424                                                                                                   0.000
Convert_46425                                                                                                 0.057
Convert_46426                                                                                                 0.065
__module.model.layers.2.self_attn/aten::add/Add/fc_output_0                                                   0.066
Multiply_32543                                                                                                0.000
Gather_49763                                                                                                  0.005
__module.model.layers.2.self_attn.k_proj/ov_ext::linear/MatMul                                                0.438
__module.model.layers.2.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.2.self_attn/aten::add/Add_1                                                             0.030
__module.model.layers.2.self_attn/aten::cat/Concat_2                                                          0.043
Multiply_46431                                                                                                0.021
Clamp_46433                                                                                                   0.000
Convert_46434                                                                                                 0.022
Convert_46435                                                                                                 0.020
__module.model.layers.2.self_attn/aten::unsqueeze/Unsqueeze_2/fc_input_0                                      0.021
__module.model.layers.2.self_attn/aten::unsqueeze/Unsqueeze_2                                                 0.004
Broadcast_38834                                                                                               0.046
Broadcast_38834_f32_bf16___module.model.layers.2.self_attn/aten::expand/Broadcast                             0.057
__module.model.layers.2.self_attn/aten::expand/Broadcast                                                      0.062
__module.model.layers.2.self_attn/aten::reshape/Reshape                                                       0.005
MatMul_32544                                                                                                  0.146
Add_32546                                                                                                     0.093
Softmax_32547                                                                                                 0.362
Gather_49766                                                                                                  0.007
__module.model.layers.2.self_attn.v_proj/ov_ext::linear/MatMul                                                0.431
__module.model.layers.2.self_attn/aten::view/Reshape_2                                                        0.006
__module.model.layers.2.self_attn/aten::transpose/Transpose_2                                                 0.016
__module.model.layers.2.self_attn/aten::cat/Concat_3                                                          0.040
Multiply_46440                                                                                                0.023
Clamp_46442                                                                                                   0.000
Convert_46443                                                                                                 0.020
Convert_46444                                                                                                 0.020
__module.model.layers.2.self_attn/aten::unsqueeze/Unsqueeze_3/fc_input_0                                      0.021
__module.model.layers.2.self_attn/aten::unsqueeze/Unsqueeze_3                                                 0.005
Broadcast_38840                                                                                               0.048
Broadcast_38840_f32_bf16___module.model.layers.2.self_attn/aten::expand/Broadcast_1                           0.056
__module.model.layers.2.self_attn/aten::expand/Broadcast_1                                                    0.068
__module.model.layers.2.self_attn/aten::reshape/Reshape_1                                                     0.006
__module.model.layers.2.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.154
Multiply_46449                                                                                                0.000
Clamp_46451                                                                                                   0.000
Convert_46452                                                                                                 0.068
Convert_46453                                                                                                 0.065
__module.model.layers.2.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention/fc_output_0          0.063
__module.model.layers.2.self_attn/aten::transpose/Transpose_3                                                 0.027
__module.model.layers.2.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.2.self_attn.o_proj/ov_ext::linear/MatMul                                                1.578
__module.model.layers.2/aten::add/Add                                                                         0.054
__module.model.layers.2.post_attention_layernorm/aten::mul/Multiply_1                                         0.046
Multiply_46458                                                                                                0.144
Clamp_46460                                                                                                   0.000
Convert_46461                                                                                                 0.059
Convert_46462                                                                                                 0.065
__module.model.layers.2.post_attention_layernorm/aten::mul/Multiply_1/fc_output_0                             0.045
__module.model.layers.2.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.219
__module.model.layers.2.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.2.mlp.up_proj/ov_ext::linear/MatMul                                                     6.533
__module.model.layers.2.mlp/aten::mul/Multiply                                                                0.246
Multiply_46467                                                                                                0.000
Clamp_46469                                                                                                   0.000
Convert_46470                                                                                                 0.221
Convert_46471                                                                                                 0.231
__module.model.layers.2.mlp/aten::mul/Multiply/fc_output_0                                                    0.213
__module.model.layers.2.mlp.down_proj/ov_ext::linear/MatMul                                                   9.261
__module.model.layers.2/aten::add/Add_1                                                                       0.058
__module.model.layers.3.input_layernorm/aten::mul/Multiply_1                                                  0.050
Multiply_46476                                                                                                0.046
Clamp_46478                                                                                                   0.000
Convert_46479                                                                                                 0.058
Convert_46480                                                                                                 0.065
__module.model.layers.3.input_layernorm/aten::mul/Multiply_1/fc_output_0                                      0.043
__module.model.layers.3.self_attn.q_proj/ov_ext::linear/MatMul                                                1.783
__module.model.layers.3.self_attn/aten::view/Reshape                                                          0.008
__module.model.layers.3.self_attn/aten::add/Add                                                               0.090
Multiply_46485                                                                                                0.075
Clamp_46487                                                                                                   0.000
Convert_46488                                                                                                 0.057
Convert_46489                                                                                                 0.062
__module.model.layers.3.self_attn/aten::add/Add/fc_output_0                                                   0.065
Multiply_32578                                                                                                0.000
Gather_49769                                                                                                  0.005
__module.model.layers.3.self_attn.k_proj/ov_ext::linear/MatMul                                                0.442
__module.model.layers.3.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.3.self_attn/aten::add/Add_1                                                             0.030
__module.model.layers.3.self_attn/aten::cat/Concat_2                                                          0.040
Multiply_46494                                                                                                0.021
Clamp_46496                                                                                                   0.000
Convert_46497                                                                                                 0.019
Convert_46498                                                                                                 0.021
__module.model.layers.3.self_attn/aten::unsqueeze/Unsqueeze_2/fc_input_0                                      0.022
__module.model.layers.3.self_attn/aten::unsqueeze/Unsqueeze_2                                                 0.004
Broadcast_38846                                                                                               0.051
Broadcast_38846_f32_bf16___module.model.layers.3.self_attn/aten::expand/Broadcast                             0.052
__module.model.layers.3.self_attn/aten::expand/Broadcast                                                      0.093
__module.model.layers.3.self_attn/aten::reshape/Reshape                                                       0.005
MatMul_32579                                                                                                  0.138
Add_32581                                                                                                     0.095
Softmax_32582                                                                                                 0.367
Gather_49772                                                                                                  0.007
__module.model.layers.3.self_attn.v_proj/ov_ext::linear/MatMul                                                0.464
__module.model.layers.3.self_attn/aten::view/Reshape_2                                                        0.007
