
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.0.self_attn.v_proj/ov_ext::linear/MatMul                                                0.405
__module.model.layers.0.self_attn/aten::view/Reshape_2                                                        0.009
__module.model.layers.0.self_attn/aten::transpose/Transpose_2                                                 0.026
__module.model.layers.0.self_attn/aten::cat/Concat_3                                                          0.040
Multiply_43953                                                                                                0.027
Clamp_43955                                                                                                   0.000
Convert_43956                                                                                                 0.021
Convert_43957                                                                                                 0.021
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze_3/fc_input_0                                      0.021
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze_3                                                 0.006
Broadcast_36501                                                                                               0.055
Broadcast_36501_f32_bf16___module.model.layers.0.self_attn/aten::expand/Broadcast_1                           0.144
__module.model.layers.0.self_attn/aten::expand/Broadcast_1                                                    0.074
__module.model.layers.0.self_attn/aten::reshape/Reshape_1                                                     0.007
__module.model.layers.0.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.135
__module.model.layers.0.self_attn/aten::transpose/Transpose_3                                                 0.040
__module.model.layers.0.self_attn/aten::reshape/Reshape_2                                                     0.007
__module.model.layers.0.self_attn/aten::reshape/Reshape_2_0_0/nncf_smooth_quant                               0.053
Multiply_43962                                                                                                0.000
Clamp_43964                                                                                                   0.000
Convert_43965                                                                                                 0.065
Convert_43966                                                                                                 0.064
__module.model.layers.0.self_attn/aten::reshape/Reshape_2_0_0/nncf_smooth_quant/fc_output_0                   0.046
__module.model.layers.0.self_attn.o_proj/ov_ext::linear/MatMul                                                1.390
__module.model.layers.0/aten::add/Add                                                                         0.112
__module.model.layers.0.post_attention_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant                   0.051
Multiply_43971                                                                                                0.189
Clamp_43973                                                                                                   0.000
Convert_43974                                                                                                 0.061
Convert_43975                                                                                                 0.061
__module.model.layers.0.post_attention_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant/fc_output_0          0.043
__module.model.layers.0.mlp.gate_proj/ov_ext::linear/MatMul                                                   6.224
__module.model.layers.0.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.0.mlp.up_proj/ov_ext::linear/MatMul                                                     5.910
__module.model.layers.0.mlp/aten::mul/Multiply                                                                0.712
__module.model.layers.0.mlp/aten::mul/Multiply_0_0/nncf_smooth_quant                                          0.000
Multiply_43980                                                                                                0.000
Clamp_43982                                                                                                   0.000
Convert_43983                                                                                                 0.419
Convert_43984                                                                                                 0.263
__module.model.layers.0.mlp/aten::mul/Multiply_0_0/nncf_smooth_quant/fc_output_0                              0.226
__module.model.layers.0.mlp.down_proj/ov_ext::linear/MatMul                                                   8.626
__module.model.layers.0/aten::add/Add_1                                                                       0.061
__module.model.layers.1.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant                            0.054
Multiply_43989                                                                                                0.052
Clamp_43991                                                                                                   0.000
Convert_43992                                                                                                 0.058
Convert_43993                                                                                                 0.063
__module.model.layers.1.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant/fc_output_0                0.044
__module.model.layers.1.self_attn.q_proj/ov_ext::linear/MatMul                                                1.325
__module.model.layers.1.self_attn/aten::view/Reshape                                                          0.008
__module.model.layers.1.self_attn/aten::add/Add                                                               0.115
Multiply_43998                                                                                                0.096
Clamp_44000                                                                                                   0.000
Convert_44001                                                                                                 0.065
Convert_44002                                                                                                 0.066
__module.model.layers.1.self_attn/aten::add/Add/fc_output_0                                                   0.068
Multiply_31273                                                                                                0.000
Gather_49757                                                                                                  0.006
__module.model.layers.1.self_attn.k_proj/ov_ext::linear/MatMul                                                0.397
__module.model.layers.1.self_attn/aten::view/Reshape_1                                                        0.009
__module.model.layers.1.self_attn/aten::add/Add_1                                                             0.031
__module.model.layers.1.self_attn/aten::cat/Concat_2                                                          0.038
Multiply_44007                                                                                                0.025
Clamp_44009                                                                                                   0.000
Convert_44010                                                                                                 0.022
Convert_44011                                                                                                 0.023
__module.model.layers.1.self_attn/aten::unsqueeze/Unsqueeze_2/fc_input_0                                      0.022
__module.model.layers.1.self_attn/aten::unsqueeze/Unsqueeze_2                                                 0.005
Broadcast_36507                                                                                               0.049
Broadcast_36507_f32_bf16___module.model.layers.1.self_attn/aten::expand/Broadcast                             0.148
__module.model.layers.1.self_attn/aten::expand/Broadcast                                                      0.069
__module.model.layers.1.self_attn/aten::reshape/Reshape                                                       0.006
MatMul_31274                                                                                                  0.280
Add_31276                                                                                                     0.110
Softmax_31277                                                                                                 0.361
Gather_49760                                                                                                  0.008
__module.model.layers.1.self_attn.v_proj/ov_ext::linear/MatMul                                                0.381
__module.model.layers.1.self_attn/aten::view/Reshape_2                                                        0.009
