
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.1.self_attn.v_proj/ov_ext::linear/MatMul                                                0.631
__module.model.layers.1.self_attn/aten::view/Reshape_2                                                        0.008
__module.model.layers.1.self_attn/aten::transpose/Transpose_2                                                 0.034
__module.model.layers.1.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                1.270
__module.model.layers.1.self_attn/aten::transpose/Transpose_3                                                 0.103
__module.model.layers.1.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.1.self_attn.o_proj/ov_ext::linear/MatMul                                                2.139
__module.model.layers.1/aten::add/Add                                                                         0.101
__module.model.layers.1.post_attention_layernorm/aten::mul/Multiply_1                                         0.050
__module.model.layers.1.mlp.gate_proj/ov_ext::linear/MatMul                                                   9.968
__module.model.layers.1.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.1.mlp.up_proj/ov_ext::linear/MatMul                                                     9.311
__module.model.layers.1.mlp/aten::mul/Multiply                                                                0.452
__module.model.layers.1.mlp.down_proj/ov_ext::linear/MatMul                                                  10.666
__module.model.layers.1/aten::add/Add_1                                                                       0.075
__module.model.layers.2.input_layernorm/aten::mul/Multiply_1                                                  0.053
__module.model.layers.2.self_attn.q_proj/ov_ext::linear/MatMul                                                2.002
__module.model.layers.2.self_attn/aten::view/Reshape                                                          0.008
__module.model.layers.2.self_attn/aten::add/Add                                                               0.097
__module.model.layers.2.self_attn.k_proj/ov_ext::linear/MatMul                                                0.462
__module.model.layers.2.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.2.self_attn/aten::add/Add_1                                                             0.033
__module.model.layers.2.self_attn.v_proj/ov_ext::linear/MatMul                                                0.493
__module.model.layers.2.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.2.self_attn/aten::transpose/Transpose_2                                                 0.035
__module.model.layers.2.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.951
__module.model.layers.2.self_attn/aten::transpose/Transpose_3                                                 0.101
__module.model.layers.2.self_attn/aten::reshape/Reshape_2                                                     0.005
