
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
-------------------------------------------------------------------------------------------------------------------
input_ids                                                                                                     0.007
__module.model.embed_tokens/ov_ext::embedding/Convert_1                                                       0.009
__module.model.embed_tokens/ov_ext::embedding/Gather                                                          0.194
__module.model.layers.0.input_layernorm/aten::mul/Multiply_1                                                  0.143
ShapeOf_29532                                                                                                 0.006
Gather_29535                                                                                                  0.005
Concat_50645                                                                                                  0.008
Broadcast_50648                                                                                               0.006
ReadValue_50269                                                                                               0.008
ReadValue_50207                                                                                               0.006
ReadValue_50209                                                                                               0.007
ReadValue_50211                                                                                               0.005
ReadValue_50213                                                                                               0.005
ReadValue_50239                                                                                               0.006
ReadValue_50241                                                                                               0.005
ReadValue_50243                                                                                               0.005
ReadValue_50245                                                                                               0.005
ReadValue_50247                                                                                               0.005
ReadValue_50249                                                                                               0.005
ReadValue_50251                                                                                               0.005
ReadValue_50253                                                                                               0.005
ReadValue_50255                                                                                               0.005
ReadValue_50257                                                                                               0.006
ReadValue_50259                                                                                               0.005
ReadValue_50261                                                                                               0.005
ReadValue_50263                                                                                               0.005
ReadValue_50265                                                                                               0.005
ReadValue_50267                                                                                               0.005
ReadValue_50237                                                                                               0.005
ReadValue_50215                                                                                               0.005
ReadValue_50217                                                                                               0.005
ReadValue_50219                                                                                               0.006
ReadValue_50221                                                                                               0.005
ReadValue_50223                                                                                               0.005
ReadValue_50225                                                                                               0.005
ReadValue_50227                                                                                               0.005
ReadValue_50229                                                                                               0.006
ReadValue_50231                                                                                               0.005
ReadValue_50233                                                                                               0.005
ReadValue_50235                                                                                               0.005
__module.model.layers.0.self_attn.q_proj/ov_ext::linear/MatMul                                                2.115
__module.model.layers.0.self_attn/aten::view/Reshape                                                          0.008
__module.model.rotary_emb/prim::ListConstruct                                                                 0.006
Broadcast_34790                                                                                               0.005
__module.model.rotary_emb/aten::expand/Broadcast                                                              0.011
position_ids                                                                                                  0.004
Convert_33607                                                                                                 0.007
__module.model.rotary_emb/aten::unsqueeze/Unsqueeze_2                                                         0.004
__module.model.rotary_emb/aten::to/Convert_3                                                                  0.006
__module.model.rotary_emb/aten::matmul/MatMul                                                                 0.024
__module.model.rotary_emb/aten::transpose/Transpose                                                           0.012
__module.model.rotary_emb/aten::cat/Concat                                                                    0.009
__module.model.rotary_emb/aten::cos/Cos                                                                       0.039
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze                                                   0.005
__module.model.rotary_emb/aten::sin/Sin                                                                       0.032
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze_1                                                 0.005
__module.model.layers.0.self_attn/aten::add/Add                                                               0.206
__module.model.layers.0.self_attn.k_proj/ov_ext::linear/MatMul                                                0.478
__module.model.layers.0.self_attn/aten::view/Reshape_1                                                        0.008
__module.model.layers.0.self_attn/aten::add/Add_1                                                             0.030
__module.model.layers.0.self_attn.v_proj/ov_ext::linear/MatMul                                                0.429
__module.model.layers.0.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.0.self_attn/aten::transpose/Transpose_2                                                 0.016
Gather_29543                                                                                                  0.005
ShapeOf_29550                                                                                                 0.005
Gather_29553                                                                                                  0.005
__module.model/aten::add/Add_1                                                                                0.006
__module.model/aten::arange/Range_1                                                                           0.008
__module.model/aten::unsqueeze/Unsqueeze_2                                                                    0.008
__module.model/aten::add/Add                                                                                  0.005
__module.model/aten::arange/Range                                                                             0.006
__module.model/aten::unsqueeze/Unsqueeze_5                                                                    0.005
attention_mask                                                                                                0.004
Convert_33834                                                                                                 0.007
Abs_33835                                                                                                     0.006
Clamp_33836                                                                                                   0.000
__module.model/aten::to/Convert_1                                                                             0.006
ShapeOf_33838                                                                                                 0.004
__module.model/aten::index/ReduceProd                                                                         0.008
__module.model/aten::index/Concat                                                                             0.005
__module.model/aten::index/Reshape                                                                            0.004
Squeeze_29554                                                                                                 0.005
__module.model/aten::arange/Range_2                                                                           0.006
__module.model/aten::unsqueeze/Unsqueeze_8                                                                    0.005
__module.model/aten::index/Split                                                                              0.005
__module.model/aten::index/Multiply                                                                           0.007
__module.model/aten::index/Add                                                                                0.000
__module.model/aten::index/Gather                                                                             0.008
__module.model/aten::index/Reshape_8                                                                          0.005
ShapeOf_33891                                                                                                 0.004
__module.model/aten::index/Reshape_12                                                                         0.004
Reshape_29558                                                                                                 0.004
Unsqueeze_209                                                                                                 0.004
__module.model/prim::ListConstruct                                                                            0.005
Broadcast_34796                                                                                               0.005
__module.model/aten::le/LessEqual                                                                             0.016
__module.model/aten::__and__/BitwiseAnd                                                                       0.000
__module.model/aten::__and__/BitwiseAnd_1                                                                     0.000
__module.model/aten::expand/Broadcast                                                                         0.000
__module.model/aten::where/Select                                                                             0.000
Reshape_29562                                                                                                 0.004
Add_44527                                                                                                     0.005
__module.model.layers.0.self_attn/aten::slice/Slice_15                                                        0.008
beam_idx                                                                                                      0.010
__module.model.layers.0.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                1.248
__module.model.layers.0.self_attn/aten::transpose/Transpose_3                                                 0.047
__module.model.layers.0.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.0.self_attn.o_proj/ov_ext::linear/MatMul                                                1.850
__module.model.layers.0/aten::add/Add                                                                         0.064
__module.model.layers.0.post_attention_layernorm/aten::mul/Multiply_1                                         0.046
__module.model.layers.0.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.361
__module.model.layers.0.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.0.mlp.up_proj/ov_ext::linear/MatMul                                                     6.542
__module.model.layers.0.mlp/aten::mul/Multiply                                                                0.464
__module.model.layers.0.mlp.down_proj/ov_ext::linear/MatMul                                                   9.544
__module.model.layers.0/aten::add/Add_1                                                                       0.064
__module.model.layers.1.input_layernorm/aten::mul/Multiply_1                                                  0.052
__module.model.layers.1.self_attn.q_proj/ov_ext::linear/MatMul                                                1.857
__module.model.layers.1.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.1.self_attn/aten::add/Add                                                               0.098
__module.model.layers.1.self_attn.k_proj/ov_ext::linear/MatMul                                                0.418
__module.model.layers.1.self_attn/aten::view/Reshape_1                                                        0.008
__module.model.layers.1.self_attn/aten::add/Add_1                                                             0.030
__module.model.layers.1.self_attn.v_proj/ov_ext::linear/MatMul                                                0.483
__module.model.layers.1.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.1.self_attn/aten::transpose/Transpose_2                                                 0.022
__module.model.layers.1.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.996
__module.model.layers.1.self_attn/aten::transpose/Transpose_3                                                 0.060
__module.model.layers.1.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.1.self_attn.o_proj/ov_ext::linear/MatMul                                                1.671
__module.model.layers.1/aten::add/Add                                                                         0.053
__module.model.layers.1.post_attention_layernorm/aten::mul/Multiply_1                                         0.051
__module.model.layers.1.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.191
__module.model.layers.1.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.1.mlp.up_proj/ov_ext::linear/MatMul                                                     6.054
__module.model.layers.1.mlp/aten::mul/Multiply                                                                0.473
__module.model.layers.1.mlp.down_proj/ov_ext::linear/MatMul                                                   9.826
__module.model.layers.1/aten::add/Add_1                                                                       0.087
__module.model.layers.2.input_layernorm/aten::mul/Multiply_1                                                  0.052
__module.model.layers.2.self_attn.q_proj/ov_ext::linear/MatMul                                                1.601
__module.model.layers.2.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.2.self_attn/aten::add/Add                                                               0.085
__module.model.layers.2.self_attn.k_proj/ov_ext::linear/MatMul                                                0.440
__module.model.layers.2.self_attn/aten::view/Reshape_1                                                        0.008
__module.model.layers.2.self_attn/aten::add/Add_1                                                             0.029
__module.model.layers.2.self_attn.v_proj/ov_ext::linear/MatMul                                                0.448
__module.model.layers.2.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.2.self_attn/aten::transpose/Transpose_2                                                 0.040
__module.model.layers.2.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.982
__module.model.layers.2.self_attn/aten::transpose/Transpose_3                                                 0.144
__module.model.layers.2.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.2.self_attn.o_proj/ov_ext::linear/MatMul                                                1.588
__module.model.layers.2/aten::add/Add                                                                         0.053
__module.model.layers.2.post_attention_layernorm/aten::mul/Multiply_1                                         0.049
__module.model.layers.2.mlp.gate_proj/ov_ext::linear/MatMul                                                   6.774
__module.model.layers.2.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.2.mlp.up_proj/ov_ext::linear/MatMul                                                     6.040
__module.model.layers.2.mlp/aten::mul/Multiply                                                                0.211
__module.model.layers.2.mlp.down_proj/ov_ext::linear/MatMul                                                   9.785
__module.model.layers.2/aten::add/Add_1                                                                       0.064
__module.model.layers.3.input_layernorm/aten::mul/Multiply_1                                                  0.053
__module.model.layers.3.self_attn.q_proj/ov_ext::linear/MatMul                                                1.946
__module.model.layers.3.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.3.self_attn/aten::add/Add                                                               0.089
__module.model.layers.3.self_attn.k_proj/ov_ext::linear/MatMul                                                0.506
__module.model.layers.3.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.3.self_attn/aten::add/Add_1                                                             0.033
__module.model.layers.3.self_attn.v_proj/ov_ext::linear/MatMul                                                0.458
__module.model.layers.3.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.3.self_attn/aten::transpose/Transpose_2                                                 0.017
__module.model.layers.3.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.958
__module.model.layers.3.self_attn/aten::transpose/Transpose_3                                                 0.051
__module.model.layers.3.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.3.self_attn.o_proj/ov_ext::linear/MatMul                                                1.665
__module.model.layers.3/aten::add/Add                                                                         0.052
__module.model.layers.3.post_attention_layernorm/aten::mul/Multiply_1                                         0.045
__module.model.layers.3.mlp.gate_proj/ov_ext::linear/MatMul                                                   6.704
__module.model.layers.3.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.3.mlp.up_proj/ov_ext::linear/MatMul                                                     6.206
__module.model.layers.3.mlp/aten::mul/Multiply                                                                0.224
__module.model.layers.3.mlp.down_proj/ov_ext::linear/MatMul                                                   9.644
__module.model.layers.3/aten::add/Add_1                                                                       0.062
__module.model.layers.4.input_layernorm/aten::mul/Multiply_1                                                  0.053
__module.model.layers.4.self_attn.q_proj/ov_ext::linear/MatMul                                                1.772
__module.model.layers.4.self_attn/aten::view/Reshape                                                          0.008
__module.model.layers.4.self_attn/aten::add/Add                                                               0.084
__module.model.layers.4.self_attn.k_proj/ov_ext::linear/MatMul                                                0.421
__module.model.layers.4.self_attn/aten::view/Reshape_1                                                        0.008
__module.model.layers.4.self_attn/aten::add/Add_1                                                             0.028
__module.model.layers.4.self_attn.v_proj/ov_ext::linear/MatMul                                                0.463
__module.model.layers.4.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.4.self_attn/aten::transpose/Transpose_2                                                 0.015
__module.model.layers.4.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.945
__module.model.layers.4.self_attn/aten::transpose/Transpose_3                                                 0.072
__module.model.layers.4.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.4.self_attn.o_proj/ov_ext::linear/MatMul                                                1.653
__module.model.layers.4/aten::add/Add                                                                         0.052
__module.model.layers.4.post_attention_layernorm/aten::mul/Multiply_1                                         0.048
__module.model.layers.4.mlp.gate_proj/ov_ext::linear/MatMul                                                   6.706
__module.model.layers.4.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.4.mlp.up_proj/ov_ext::linear/MatMul                                                     6.211
