Output template: perf,%engine%,%impl%,%name%,%prb%,%Gops%,%+ctime%,%-time%,%-Gflops%,%0time%,%0Gflops%
perf,cpu,brgemm:avx10_1_512_amx,proj_o_cold_wei_a8,--mode=P --ip --cold-cache=wei --dir=FWD_I --dt=u8:s8:s32 mb128ic2048oc2048nproj_o_cold_wei_a8,1.07374,0.0202637,0.665039,1614.55,0.83685,1283.08
perf,cpu,brgemm:avx10_1_512_amx,ffn_up_cold_wei_a8,--mode=P --ip --cold-cache=wei --dir=FWD_I --dt=u8:s8:s32 mb128ic2048oc8192nffn_up_cold_wei_a8,4.29497,0.0224609,3.26782,1314.32,3.40206,1262.46
perf,cpu,brgemm:avx10_1_512_amx,ffn_gate_cold_wei_a8,--mode=P --ip --cold-cache=wei --dir=FWD_I --dt=u8:s8:s32 mb128ic2048oc8192nffn_gate_cold_wei_a8,4.29497,0.0270996,3.28979,1305.54,3.41869,1256.32
perf,cpu,brgemm:avx10_1_512_amx,ffn_down_cold_wei_a8,--mode=P --ip --cold-cache=wei --dir=FWD_I --dt=u8:s8:s32 mb128ic8192oc2048nffn_down_cold_wei_a8,4.29497,0.0183105,3.51855,1220.66,3.69312,1162.97
perf,cpu,brgemm:avx10_1_512_amx,proj_q_cold_all_a8,--mode=P --ip --cold-cache=all --dir=FWD_I --dt=u8:s8:s32 mb128ic2048oc2048nproj_q_cold_all_a8,1.07374,0.0222168,0.829102,1295.07,0.883917,1214.75
perf,cpu,brgemm:avx10_1_512_amx,proj_kv_cold_all_a8,--mode=P --ip --cold-cache=all --dir=FWD_I --dt=u8:s8:s32 mb128ic2048oc512nproj_kv_cold_all_a8,0.268435,0.0222168,0.158691,1691.56,0.1819,1475.73
perf,cpu,brgemm:avx10_1_512_amx,score_cold_all_a8,--mode=P --ip --cold-cache=all --dir=FWD_I --dt=u8:s8:s32 mb128ic64oc4096nscore_cold_all_a8,0.0671089,0.020752,0.158203,424.194,0.215537,311.356
perf,cpu,brgemm:avx10_1_512_amx,attn_out_cold_all_a8,--mode=P --ip --cold-cache=all --dir=FWD_I --dt=u8:s8:s32 mb128ic128oc2048nattn_out_cold_all_a8,0.0671089,0.0202637,0.0869141,772.129,0.0954222,703.283
perf,cpu,brgemm:avx10_1_512_amx,proj_o_cold_all_a8,--mode=P --ip --cold-cache=all --dir=FWD_I --dt=u8:s8:s32 mb128ic2048oc2048nproj_o_cold_all_a8,1.07374,0.0212402,0.826416,1299.28,0.919923,1167.21
perf,cpu,brgemm:avx10_1_512_amx,ffn_up_cold_all_a8,--mode=P --ip --cold-cache=all --dir=FWD_I --dt=u8:s8:s32 mb128ic2048oc8192nffn_up_cold_all_a8,4.29497,0.0209961,3.29419,1303.8,3.41171,1258.89
perf,cpu,brgemm:avx10_1_512_amx,ffn_gate_cold_all_a8,--mode=P --ip --cold-cache=all --dir=FWD_I --dt=u8:s8:s32 mb128ic2048oc8192nffn_gate_cold_all_a8,4.29497,0.0192871,3.29028,1305.35,3.39607,1264.69
perf,cpu,brgemm:avx10_1_512_amx,ffn_down_cold_all_a8,--mode=P --ip --cold-cache=all --dir=FWD_I --dt=u8:s8:s32 mb128ic8192oc2048nffn_down_cold_all_a8,4.29497,0.0212402,3.55127,1209.42,3.80408,1129.04
tests:24 passed:24 skipped:0 mistrusted:0 unimplemented:0 invalid_arguments:0 failed:0 listed:0
total perf: min(ms):33.0293 avg(ms):35.146
total: 86.76s; create_pd: 0.00s (0%); create_prim: 0.00s (0%); fill: 3.73s (4%); execute: 0.03s (0%);
