Output template: perf,%engine%,%impl%,%name%,%prb%,%Gops%,%+ctime%,%-time%,%-Gflops%,%0time%,%0Gflops%
perf,cpu,brgemm:avx10_1_512_amx,proj_q_a8,--mode=P --ip --dir=FWD_I --dt=u8:s8:s32 mb128ic2048oc2048nproj_q_a8,1.07374,0.874512,0.591797,1814.38,0.655823,1637.24
perf,cpu,brgemm:avx10_1_512_amx,proj_kv_a8,--mode=P --ip --dir=FWD_I --dt=u8:s8:s32 mb128ic2048oc512nproj_kv_a8,0.268435,0.361084,0.0874023,3071.26,0.0897043,2992.45
perf,cpu,brgemm:avx10_1_512_amx,score_a8,--mode=P --ip --dir=FWD_I --dt=u8:s8:s32 mb128ic64oc4096nscore_a8,0.0671089,0.163086,0.128174,523.577,0.137076,489.574
perf,cpu,brgemm:avx10_1_512_amx,attn_out_a8,--mode=P --ip --dir=FWD_I --dt=u8:s8:s32 mb128ic128oc2048nattn_out_a8,0.0671089,0.175049,0.0634766,1057.22,0.0678067,989.708
perf,cpu,brgemm:avx10_1_512_amx,proj_o_a8,--mode=P --ip --dir=FWD_I --dt=u8:s8:s32 mb128ic2048oc2048nproj_o_a8,1.07374,0.012207,0.588379,1824.92,0.65494,1639.45
perf,cpu,brgemm:avx10_1_512_amx,ffn_up_a8,--mode=P --ip --dir=FWD_I --dt=u8:s8:s32 mb128ic2048oc8192nffn_up_a8,4.29497,0.354248,2.46289,1743.87,2.5968,1653.95
perf,cpu,brgemm:avx10_1_512_amx,ffn_gate_a8,--mode=P --ip --dir=FWD_I --dt=u8:s8:s32 mb128ic2048oc8192nffn_gate_a8,4.29497,0.00927734,2.40356,1786.92,2.5915,1657.33
perf,cpu,brgemm:avx10_1_512_amx,ffn_down_a8,--mode=P --ip --dir=FWD_I --dt=u8:s8:s32 mb128ic8192oc2048nffn_down_a8,4.29497,0.905273,2.7832,1543.17,2.87091,1496.03
perf,cpu,brgemm:avx10_1_512_amx,proj_q_cold_wei_a8,--mode=P --ip --cold-cache=wei --dir=FWD_I --dt=u8:s8:s32 mb128ic2048oc2048nproj_q_cold_wei_a8,1.07374,0.0153809,0.626465,1713.97,0.835366,1285.36
perf,cpu,brgemm:avx10_1_512_amx,proj_kv_cold_wei_a8,--mode=P --ip --cold-cache=wei --dir=FWD_I --dt=u8:s8:s32 mb128ic2048oc512nproj_kv_cold_wei_a8,0.268435,0.0202637,0.147217,1823.4,0.161325,1663.94
perf,cpu,brgemm:avx10_1_512_amx,score_cold_wei_a8,--mode=P --ip --cold-cache=wei --dir=FWD_I --dt=u8:s8:s32 mb128ic64oc4096nscore_cold_wei_a8,0.0671089,0.0224609,0.137451,488.238,0.147322,455.526
perf,cpu,brgemm:avx10_1_512_amx,attn_out_cold_wei_a8,--mode=P --ip --cold-cache=wei --dir=FWD_I --dt=u8:s8:s32 mb128ic128oc2048nattn_out_cold_wei_a8,0.0671089,0.0217285,0.072998,919.324,0.0781542,858.672
