Output template: perf,%engine%,%impl%,%name%,%prb%,%Gops%,%+ctime%,%-time%,%-Gflops%,%0time%,%0Gflops%
perf,cpu,brgemm:avx10_1_512_amx,proj_q_a16,--mode=P --ip --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic2048oc2048nproj_q_a16,1.07374,1.52173,0.976318,1099.79,1.01581,1057.03
perf,cpu,brgemm:avx10_1_512_amx,proj_kv_a16,--mode=P --ip --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic2048oc512nproj_kv_a16,0.268435,2.33057,0.231689,1158.6,0.251501,1067.33
perf,cpu,brgemm:avx10_1_512_amx,score_a16,--mode=P --ip --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic64oc4096nscore_a16,0.0671089,0.872803,0.153564,437.008,0.157275,426.698
perf,cpu,brgemm:avx10_1_512_amx,attn_out_a16,--mode=P --ip --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic128oc2048nattn_out_a16,0.0671089,0.906494,0.0976562,687.195,0.100508,667.694
perf,cpu,brgemm:avx10_1_512_amx,proj_o_a16,--mode=P --ip --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic2048oc2048nproj_o_a16,1.07374,0.0170898,0.973389,1103.1,1.01776,1055
perf,cpu,brgemm:avx10_1_512_amx,ffn_up_a16,--mode=P --ip --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic2048oc8192nffn_up_a16,4.29497,1.20679,4.00659,1071.98,4.0534,1059.6
perf,cpu,brgemm:avx10_1_512_amx,ffn_gate_a16,--mode=P --ip --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic2048oc8192nffn_gate_a16,4.29497,0.0158691,4.02368,1067.42,4.06567,1056.4
perf,cpu,brgemm:avx10_1_512_amx,ffn_down_a16,--mode=P --ip --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic8192oc2048nffn_down_a16,4.29497,1.42358,6.58521,652.215,7.10255,604.708
perf,cpu,brgemm:avx10_1_512_amx,proj_q_cold_wei_a16,--mode=P --ip --cold-cache=wei --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic2048oc2048nproj_q_cold_wei_a16,1.07374,0.0197754,0.994629,1079.54,1.2395,866.267
perf,cpu,brgemm:avx10_1_512_amx,proj_kv_cold_wei_a16,--mode=P --ip --cold-cache=wei --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic2048oc512nproj_kv_cold_wei_a16,0.268435,0.0205078,0.260254,1031.44,0.316733,847.512
perf,cpu,brgemm:avx10_1_512_amx,score_cold_wei_a16,--mode=P --ip --cold-cache=wei --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic64oc4096nscore_cold_wei_a16,0.0671089,0.0192871,0.159668,420.303,0.17221,389.692
